Controller,timestamp,availability
POX,04/23/15 11:31:53,100
RYU,04/23/15 11:31:53,0
FLOODLIGHT,04/23/15 11:31:53,0
OPENDAYLICHT,04/23/15 11:31:53,0
POX,04/23/15 11:31:58,100
RYU,04/23/15 11:31:59,0
FLOODLIGHT,04/23/15 11:31:59,0
OPENDAYLICHT,04/23/15 11:31:59,0
POX,04/23/15 11:32:05,100
RYU,04/23/15 11:32:05,0
FLOODLIGHT,04/23/15 11:32:06,0
OPENDAYLICHT,04/23/15 11:32:06,0
POX,04/23/15 11:32:11,100
RYU,04/23/15 11:32:11,0
FLOODLIGHT,04/23/15 11:32:12,0
OPENDAYLICHT,04/23/15 11:32:12,0
POX,04/23/15 11:32:17,100
RYU,04/23/15 11:32:17,0
FLOODLIGHT,04/23/15 11:32:18,0
OPENDAYLICHT,04/23/15 11:32:18,0
POX,04/23/15 11:32:23,100
RYU,04/23/15 11:32:24,0
FLOODLIGHT,04/23/15 11:32:24,0
OPENDAYLICHT,04/23/15 11:32:24,0
POX,04/23/15 11:32:29,100
RYU,04/23/15 11:32:29,0
FLOODLIGHT,04/23/15 11:32:29,0
OPENDAYLICHT,04/23/15 11:32:29,0
POX,04/23/15 11:32:35,100
RYU,04/23/15 11:32:35,0
FLOODLIGHT,04/23/15 11:32:35,0
OPENDAYLICHT,04/23/15 11:32:35,0
POX,04/23/15 11:32:40,100
RYU,04/23/15 11:32:40,0
FLOODLIGHT,04/23/15 11:32:40,0
OPENDAYLICHT,04/23/15 11:32:40,0
POX,04/23/15 11:32:45,100
RYU,04/23/15 11:32:45,0
FLOODLIGHT,04/23/15 11:32:45,0
OPENDAYLICHT,04/23/15 11:32:45,0
POX,04/23/15 11:32:51,100
RYU,04/23/15 11:32:51,0
FLOODLIGHT,04/23/15 11:32:51,0
OPENDAYLICHT,04/23/15 11:32:51,0
POX,04/23/15 11:32:56,100
RYU,04/23/15 11:32:56,0
FLOODLIGHT,04/23/15 11:32:56,0
OPENDAYLICHT,04/23/15 11:32:56,0
POX,04/23/15 11:33:01,100
RYU,04/23/15 11:33:01,0
FLOODLIGHT,04/23/15 11:33:01,0
OPENDAYLICHT,04/23/15 11:33:01,0
POX,04/23/15 11:33:07,100
RYU,04/23/15 11:33:07,0
FLOODLIGHT,04/23/15 11:33:07,0
OPENDAYLICHT,04/23/15 11:33:07,0
POX,04/23/15 11:33:12,100
RYU,04/23/15 11:33:12,0
FLOODLIGHT,04/23/15 11:33:13,0
OPENDAYLICHT,04/23/15 11:33:13,0
POX,04/23/15 11:33:18,100
RYU,04/23/15 11:33:19,0
FLOODLIGHT,04/23/15 11:33:19,0
OPENDAYLICHT,04/23/15 11:33:19,0
POX,04/23/15 11:33:24,100
RYU,04/23/15 11:33:24,0
FLOODLIGHT,04/23/15 11:33:24,0
OPENDAYLICHT,04/23/15 11:33:24,0
POX,04/23/15 11:33:30,100
RYU,04/23/15 11:33:30,0
FLOODLIGHT,04/23/15 11:33:30,0
OPENDAYLICHT,04/23/15 11:33:30,0
POX,04/23/15 11:33:35,100
RYU,04/23/15 11:33:35,0
FLOODLIGHT,04/23/15 11:33:35,0
OPENDAYLICHT,04/23/15 11:33:35,0
POX,04/23/15 11:33:40,100
RYU,04/23/15 11:33:41,0
FLOODLIGHT,04/23/15 11:33:41,0
OPENDAYLICHT,04/23/15 11:33:41,0
POX,04/23/15 11:33:46,100
RYU,04/23/15 11:33:46,0
FLOODLIGHT,04/23/15 11:33:46,0
OPENDAYLICHT,04/23/15 11:33:46,0
POX,04/23/15 11:33:51,100
RYU,04/23/15 11:33:51,0
FLOODLIGHT,04/23/15 11:33:51,0
OPENDAYLICHT,04/23/15 11:33:51,0
POX,04/23/15 11:33:56,100
RYU,04/23/15 11:33:56,0
FLOODLIGHT,04/23/15 11:33:56,0
OPENDAYLICHT,04/23/15 11:33:56,0
POX,04/23/15 11:34:01,100
RYU,04/23/15 11:34:01,0
FLOODLIGHT,04/23/15 11:34:01,0
OPENDAYLICHT,04/23/15 11:34:01,0
POX,04/23/15 11:34:06,100
RYU,04/23/15 11:34:06,0
FLOODLIGHT,04/23/15 11:34:06,0
OPENDAYLICHT,04/23/15 11:34:06,0
POX,04/23/15 11:34:13,100
RYU,04/23/15 11:34:13,0
FLOODLIGHT,04/23/15 11:34:13,0
OPENDAYLICHT,04/23/15 11:34:13,0
POX,04/23/15 11:34:19,100
RYU,04/23/15 11:34:19,0
FLOODLIGHT,04/23/15 11:34:19,0
OPENDAYLICHT,04/23/15 11:34:19,0
POX,04/23/15 11:34:24,100
RYU,04/23/15 11:34:24,0
FLOODLIGHT,04/23/15 11:34:24,0
OPENDAYLICHT,04/23/15 11:34:24,0
